name,age
User1,84
User2,39
User3,78
User4,79
User5,91
User6,19
User7,33
User8,76
User9,27
User10,55
User11,47
User12,62
User13,36
User14,51
User15,95
User16,91
User17,63
User18,71
User19,14
User20,60
User21,1
User22,24
User23,13
User24,80
User25,15
User26,40
User27,12
User28,10
User29,99
User30,21
User31,51
User32,83
User33,61
User34,29
User35,63
User36,52
User37,49
User38,97
User39,29
User40,77
User41,52
User42,76
User43,40
User44,89
User45,28
User46,35
User47,80
User48,91
User49,6
User50,94
User51,52
User52,8
User53,19
User54,66
User55,89
User56,34
User57,6
User58,2
User59,45
User60,6
User61,23
User62,97
User63,90
User64,85
User65,26
User66,53
User67,37
User68,76
User69,51
User70,66
User71,53
User72,3
User73,43
User74,93
User75,93
User76,72
User77,28
User78,73
User79,63
User80,35
User81,68
User82,16
User83,44
User84,88
User85,82
User86,33
User87,22
User88,89
User89,35
User90,68
User91,95
User92,58
User93,65
User94,85
User95,43
User96,92
User97,39
User98,81
User99,68
User100,91
User101,48
User102,21
User103,95
User104,92
User105,14
User106,88
User107,64
User108,43
User109,61
User110,28
User111,78
User112,30
User113,44
User114,22
User115,18
User116,27
User117,55
User118,41
User119,16
User120,90
User121,10
User122,12
User123,49
User124,76
User125,98
User126,93
User127,68
User128,38
User129,74
User130,36
User131,29
User132,23
User133,58
User134,24
User135,15
User136,73
User137,12
User138,79
User139,16
User140,74
User141,7
User142,95
User143,5
User144,52
User145,17
User146,24
User147,79
User148,73
User149,65
User150,96
User151,63
User152,75
User153,9
User154,13
User155,52
User156,7
User157,6
User158,20
User159,46
User160,81
User161,57
User162,75
User163,5
User164,15
User165,99
User166,20
User167,88
User168,12
User169,99
User170,5
User171,87
User172,7
User173,0
User174,92
User175,59
User176,18
User177,16
User178,39
User179,91
User180,81
User181,35
User182,55
User183,57
User184,45
User185,68
User186,9
User187,53
User188,75
User189,30
User190,99
User191,57
User192,87
User193,74
User194,62
User195,3
User196,74
User197,83
User198,92
User199,87
User200,83
User201,97
User202,74
User203,90
User204,98
User205,66
User206,49
User207,16
User208,83
User209,88
User210,7
User211,64
User212,24
User213,62
User214,22
User215,70
User216,31
User217,32
User218,23
User219,7
User220,63
User221,22
User222,65
User223,51
User224,97
User225,28
User226,54
User227,71
User228,11
User229,47
User230,59
User231,94
User232,45
User233,33
User234,84
User235,43
User236,0
User237,34
User238,59
User239,83
User240,23
User241,67
User242,48
User243,48
User244,30
User245,71
User246,18
User247,62
User248,4
User249,41
User250,69
User251,67
User252,63
User253,34
User254,18
User255,60
User256,62
User257,73
User258,32
User259,74
User260,20
User261,92
User262,68
User263,65
User264,25
User265,53
User266,8
User267,26
User268,87
User269,68
User270,9
User271,11
User272,36
User273,57
User274,59
User275,66
User276,28
User277,77
User278,28
User279,32
User280,18
User281,98
User282,0
User283,82
User284,33
User285,18
User286,43
User287,95
User288,91
User289,76
User290,69
User291,12
User292,68
User293,38
User294,77
User295,94
User296,91
User297,86
User298,20
User299,79
User300,54
User301,29
User302,90
User303,90
User304,87
User305,49
User306,57
User307,16
User308,27
User309,86
User310,49
User311,46
User312,84
User313,49
User314,29
User315,18
User316,68
User317,72
User318,13
User319,60
User320,49
User321,83
User322,72
User323,17
User324,22
User325,49
User326,12
User327,13
User328,36
User329,32
User330,93
User331,90
User332,62
User333,83
User334,81
User335,49
User336,33
User337,39
User338,65
User339,60
User340,25
User341,15
User342,7
User343,10
User344,64
User345,36
User346,28
User347,33
User348,9
User349,42
User350,93
User351,58
User352,26
User353,65
User354,76
User355,48
User356,15
User357,88
User358,62
User359,51
User360,20
User361,55
User362,42
User363,82
User364,39
User365,24
User366,32
User367,72
User368,63
User369,98
User370,33
User371,89
User372,13
User373,41
User374,0
User375,78
User376,77
User377,29
User378,11
User379,86
User380,72
User381,4
User382,44
User383,98
User384,70
User385,21
User386,47
User387,86
User388,9
User389,9
User390,38
User391,30
User392,65
User393,80
User394,13
User395,5
User396,5
User397,45
User398,78
User399,69
User400,44
User401,11
User402,58
User403,57
User404,52
User405,59
User406,36
User407,30
User408,88
User409,47
User410,16
User411,60
User412,52
User413,61
User414,59
User415,23
User416,82
User417,7
User418,9
User419,92
User420,16
User421,48
User422,22
User423,82
User424,29
User425,35
User426,87
User427,34
User428,81
User429,65
User430,3
User431,25
User432,77
User433,62
User434,83
User435,30
User436,22
User437,19
User438,61
User439,10
User440,67
User441,78
User442,71
User443,20
User444,40
User445,31
User446,43
User447,23
User448,38
User449,53
User450,15
User451,55
User452,1
User453,38
User454,38
User455,30
User456,73
User457,26
User458,64
User459,55
User460,91
User461,68
User462,80
User463,69
User464,31
User465,64
User466,0
User467,53
User468,84
User469,61
User470,64
User471,51
User472,40
User473,36
User474,71
User475,80
User476,67
User477,15
User478,3
User479,6
User480,68
User481,18
User482,61
User483,70
User484,56
User485,0
User486,0
User487,30
User488,26
User489,65
User490,85
User491,18
User492,34
User493,66
User494,87
User495,65
User496,31
User497,88
User498,18
User499,15
User500,50
User501,82
User502,67
User503,90
User504,19
User505,39
User506,70
User507,86
User508,54
User509,73
User510,93
User511,23
User512,92
User513,55
User514,93
User515,49
User516,55
User517,93
User518,79
User519,81
User520,59
User521,65
User522,99
User523,93
User524,32
User525,87
User526,58
User527,63
User528,75
User529,77
User530,79
User531,26
User532,60
User533,47
User534,16
User535,79
User536,86
User537,87
User538,66
User539,41
User540,61
User541,59
User542,64
User543,53
User544,14
User545,57
User546,3
User547,70
User548,51
User549,83
User550,51
User551,11
User552,48
User553,51
User554,4
User555,81
User556,38
User557,63
User558,45
User559,14
User560,41
User561,24
User562,40
User563,1
User564,71
User565,57
User566,81
User567,58
User568,44
User569,47
User570,99
User571,5
User572,7
User573,64
User574,59
