name,age
User70001,11
User70002,72
User70003,85
User70004,5
User70005,14
User70006,35
User70007,9
User70008,3
User70009,68
User70010,56
User70011,82
User70012,63
User70013,88
User70014,97
User70015,58
User70016,21
User70017,0
User70018,49
User70019,61
User70020,37
User70021,8
User70022,8
User70023,30
User70024,57
User70025,9
User70026,75
User70027,83
User70028,98
User70029,25
User70030,17
User70031,40
User70032,36
User70033,90
User70034,25
User70035,42
User70036,4
User70037,61
User70038,51
User70039,7
User70040,29
User70041,7
User70042,90
User70043,92
User70044,95
User70045,87
User70046,51
User70047,17
User70048,87
User70049,0
User70050,78
User70051,25
User70052,9
User70053,87
User70054,55
User70055,67
User70056,97
User70057,31
User70058,51
User70059,95
User70060,56
User70061,68
User70062,36
User70063,93
User70064,58
User70065,62
User70066,35
User70067,63
User70068,23
User70069,87
User70070,71
User70071,52
User70072,95
User70073,62
User70074,45
User70075,91
User70076,50
User70077,96
User70078,9
User70079,38
User70080,97
User70081,88
User70082,63
User70083,7
User70084,75
User70085,19
User70086,74
User70087,72
User70088,51
User70089,26
User70090,67
User70091,8
User70092,94
User70093,4
User70094,2
User70095,53
User70096,66
User70097,38
User70098,16
User70099,89
User70100,25
User70101,88
User70102,42
User70103,20
User70104,50
User70105,87
User70106,12
User70107,0
User70108,84
User70109,21
User70110,39
User70111,81
User70112,9
User70113,2
User70114,89
User70115,84
User70116,22
User70117,64
User70118,57
User70119,74
User70120,90
User70121,25
User70122,82
User70123,84
User70124,29
User70125,84
User70126,37
User70127,95
User70128,22
User70129,54
User70130,85
User70131,48
User70132,42
User70133,27
User70134,69
User70135,93
User70136,14
User70137,81
User70138,94
User70139,98
User70140,2
User70141,33
User70142,80
User70143,11
User70144,36
User70145,69
User70146,96
User70147,58
User70148,33
User70149,54
User70150,33
User70151,24
User70152,80
User70153,15
User70154,8
User70155,10
User70156,0
User70157,46
User70158,5
User70159,22
User70160,0
User70161,91
User70162,70
User70163,43
User70164,18
User70165,39
User70166,37
User70167,32
User70168,21
User70169,31
User70170,31
User70171,23
User70172,65
User70173,12
User70174,35
User70175,1
User70176,82
User70177,32
User70178,60
User70179,16
User70180,86
User70181,93
User70182,40
User70183,67
User70184,9
User70185,49
User70186,77
User70187,9
User70188,95
User70189,82
User70190,32
User70191,96
User70192,74
User70193,3
User70194,40
User70195,92
User70196,43
User70197,77
User70198,25
User70199,64
User70200,9
User70201,56
User70202,88
User70203,74
User70204,69
User70205,23
User70206,76
User70207,52
User70208,56
User70209,37
User70210,68
User70211,42
User70212,31
User70213,9
User70214,9
User70215,40
User70216,58
User70217,87
User70218,50
User70219,54
User70220,70
User70221,82
User70222,51
User70223,44
User70224,86
User70225,91
User70226,36
User70227,29
User70228,69
User70229,61
User70230,93
User70231,79
User70232,18
User70233,82
User70234,53
User70235,87
User70236,5
User70237,30
User70238,39
User70239,61
User70240,68
User70241,8
User70242,4
User70243,99
User70244,17
User70245,14
User70246,40
User70247,76
User70248,1
User70249,90
User70250,31
User70251,71
User70252,73
User70253,82
User70254,15
User70255,59
User70256,73
User70257,52
User70258,89
User70259,43
User70260,13
User70261,83
User70262,22
User70263,31
User70264,65
User70265,76
User70266,19
User70267,70
User70268,6
User70269,59
User70270,32
User70271,75
User70272,68
User70273,37
User70274,74
User70275,86
User70276,52
User70277,15
User70278,62
User70279,53
User70280,5
User70281,93
User70282,25
User70283,79
User70284,75
User70285,41
User70286,39
User70287,49
User70288,93
User70289,28
User70290,93
User70291,6
User70292,11
User70293,15
User70294,38
User70295,76
User70296,92
User70297,57
User70298,47
User70299,98
User70300,17
User70301,80
User70302,74
User70303,85
User70304,17
User70305,48
User70306,71
User70307,69
User70308,63
User70309,34
User70310,23
User70311,69
User70312,27
User70313,48
User70314,49
User70315,3
User70316,89
User70317,88
User70318,53
User70319,82
