name,age
User40001,93
User40002,76
User40003,83
User40004,3
User40005,51
User40006,66
User40007,7
User40008,83
User40009,15
User40010,60
User40011,72
User40012,12
User40013,20
User40014,12
User40015,95
User40016,13
User40017,54
User40018,6
User40019,89
User40020,29
User40021,22
User40022,15
User40023,95
User40024,5
User40025,69
User40026,32
User40027,36
User40028,23
User40029,24
User40030,90
User40031,85
User40032,18
User40033,67
User40034,69
User40035,21
User40036,19
User40037,36
User40038,29
User40039,2
User40040,52
User40041,90
User40042,75
User40043,64
User40044,10
User40045,87
User40046,59
User40047,24
User40048,41
User40049,65
User40050,13
User40051,71
User40052,88
User40053,28
User40054,67
User40055,93
User40056,98
User40057,99
User40058,29
User40059,21
User40060,23
User40061,20
User40062,7
User40063,41
User40064,87
User40065,76
User40066,63
User40067,6
User40068,13
User40069,93
User40070,9
User40071,65
User40072,83
User40073,85
User40074,29
User40075,94
User40076,73
User40077,89
User40078,18
User40079,15
User40080,55
User40081,31
User40082,87
User40083,43
User40084,60
User40085,54
User40086,36
User40087,58
User40088,54
User40089,66
User40090,80
User40091,77
User40092,86
User40093,88
User40094,19
User40095,74
User40096,65
User40097,83
User40098,81
User40099,78
User40100,76
User40101,91
User40102,43
User40103,60
User40104,77
User40105,73
User40106,54
User40107,50
User40108,62
User40109,72
User40110,66
User40111,17
User40112,4
User40113,53
User40114,61
User40115,65
User40116,8
User40117,98
User40118,24
User40119,62
User40120,64
User40121,4
User40122,40
User40123,51
User40124,93
User40125,59
User40126,26
User40127,58
User40128,42
User40129,7
User40130,36
User40131,19
User40132,99
User40133,80
User40134,79
User40135,76
User40136,53
User40137,34
User40138,27
User40139,16
User40140,7
User40141,93
User40142,34
User40143,12
User40144,47
User40145,95
User40146,77
User40147,55
User40148,93
User40149,1
User40150,17
User40151,58
User40152,6
User40153,57
User40154,9
User40155,99
User40156,17
User40157,35
User40158,57
User40159,60
User40160,43
User40161,94
User40162,80
User40163,43
User40164,74
User40165,59
User40166,20
User40167,28
User40168,94
User40169,47
User40170,44
User40171,1
User40172,41
User40173,79
User40174,13
User40175,89
User40176,74
User40177,91
User40178,44
User40179,68
User40180,92
User40181,62
User40182,26
User40183,99
User40184,20
User40185,36
User40186,99
User40187,37
User40188,72
User40189,56
User40190,98
User40191,15
User40192,51
User40193,78
User40194,59
User40195,26
User40196,38
User40197,79
User40198,54
User40199,32
User40200,26
User40201,99
User40202,33
User40203,68
User40204,78
User40205,47
User40206,57
User40207,52
User40208,38
User40209,2
User40210,21
User40211,31
User40212,64
User40213,47
User40214,30
User40215,85
User40216,83
User40217,29
User40218,22
User40219,55
User40220,86
User40221,21
User40222,71
User40223,38
User40224,99
User40225,30
User40226,64
User40227,37
User40228,9
User40229,18
User40230,69
User40231,36
User40232,17
User40233,3
User40234,5
User40235,96
User40236,50
User40237,62
User40238,48
User40239,89
User40240,65
User40241,70
User40242,20
User40243,29
User40244,17
User40245,51
User40246,14
User40247,1
User40248,80
User40249,37
User40250,57
User40251,67
User40252,58
User40253,29
User40254,5
User40255,58
User40256,59
User40257,69
User40258,95
User40259,69
User40260,88
User40261,65
User40262,6
User40263,6
User40264,68
User40265,11
User40266,2
User40267,19
User40268,74
User40269,51
User40270,8
User40271,39
User40272,21
User40273,29
User40274,69
User40275,38
User40276,80
User40277,84
User40278,40
User40279,61
User40280,22
User40281,98
User40282,29
User40283,81
User40284,27
User40285,34
User40286,39
User40287,86
User40288,4
User40289,34
User40290,56
User40291,92
User40292,99
User40293,62
User40294,99
User40295,68
User40296,74
User40297,1
User40298,87
User40299,48
User40300,52
User40301,96
User40302,88
User40303,73
User40304,26
User40305,57
User40306,12
User40307,7
User40308,42
User40309,53
User40310,68
User40311,64
User40312,51
User40313,97
User40314,45
User40315,78
User40316,32
User40317,85
User40318,65
User40319,37
User40320,19
User40321,21
User40322,29
User40323,19
User40324,83
User40325,28
User40326,87
User40327,58
User40328,30
User40329,75
User40330,6
User40331,82
User40332,72
User40333,94
User40334,56
User40335,99
User40336,52
User40337,69
User40338,6
User40339,95
User40340,22
User40341,74
User40342,59
User40343,73
User40344,72
User40345,5
User40346,51
User40347,5
User40348,90
User40349,16
User40350,42
User40351,10
User40352,38
User40353,72
User40354,29
User40355,22
User40356,1
User40357,17
User40358,80
User40359,31
User40360,93
User40361,86
User40362,14
User40363,66
User40364,81
User40365,70
User40366,65
User40367,34
User40368,39
User40369,71
User40370,29
User40371,62
User40372,46
User40373,89
User40374,35
User40375,19
User40376,95
User40377,87
User40378,24
User40379,86
User40380,4
User40381,67
User40382,96
User40383,42
User40384,39
User40385,26
User40386,64
User40387,41
User40388,44
User40389,44
User40390,72
User40391,38
User40392,31
User40393,86
User40394,4
User40395,13
User40396,57
User40397,70
User40398,48
User40399,97
User40400,41
User40401,77
User40402,59
User40403,88
User40404,67
User40405,95
User40406,8
User40407,62
User40408,82
User40409,33
User40410,49
User40411,87
User40412,0
User40413,45
User40414,29
User40415,40
User40416,72
User40417,94
User40418,81
User40419,17
User40420,39
User40421,54
User40422,55
User40423,71
User40424,40
User40425,60
User40426,84
User40427,98
User40428,30
User40429,32
User40430,95
User40431,72
User40432,10
User40433,55
User40434,60
User40435,77
User40436,50
User40437,68
User40438,40
User40439,33
User40440,1
User40441,89
User40442,20
User40443,2
User40444,35
User40445,50
User40446,42
User40447,8
User40448,44
User40449,24
User40450,25
User40451,83
User40452,78
User40453,80
User40454,54
User40455,19
User40456,40
User40457,39
User40458,17
User40459,70
User40460,72
User40461,13
User40462,42
User40463,82
User40464,69
User40465,3
User40466,60
User40467,19
User40468,72
User40469,1
User40470,53
User40471,74
User40472,91
User40473,73
User40474,76
User40475,26
User40476,23
User40477,19
User40478,34
User40479,68
User40480,43
User40481,59
User40482,51
User40483,21
User40484,40
User40485,6
User40486,40
User40487,80
User40488,46
User40489,58
User40490,51
User40491,18
User40492,71
User40493,94
User40494,1
User40495,41
User40496,98
User40497,62
User40498,60
User40499,70
User40500,64
User40501,14
User40502,45
User40503,55
User40504,88
User40505,22
User40506,81
User40507,11
User40508,41
User40509,16
User40510,80
User40511,85
User40512,76
User40513,32
User40514,6
User40515,16
User40516,39
User40517,47
User40518,97
User40519,85
User40520,5
User40521,49
User40522,4
User40523,77
User40524,44
User40525,6
User40526,18
User40527,42
User40528,68
User40529,79
User40530,13
User40531,32
User40532,93
User40533,59
User40534,87
User40535,81
User40536,81
