name,age
User90001,54
User90002,21
User90003,5
User90004,67
User90005,86
User90006,57
User90007,18
User90008,80
User90009,18
User90010,73
User90011,27
User90012,98
User90013,2
User90014,99
User90015,18
User90016,22
User90017,16
User90018,48
User90019,79
User90020,87
User90021,76
User90022,25
User90023,52
User90024,61
User90025,37
User90026,21
User90027,85
User90028,80
User90029,37
User90030,91
User90031,4
User90032,91
User90033,13
User90034,9
User90035,59
User90036,0
User90037,67
User90038,78
User90039,80
User90040,86
User90041,51
User90042,8
User90043,84
User90044,54
User90045,7
User90046,2
User90047,76
User90048,24
User90049,51
User90050,56
User90051,12
User90052,27
User90053,81
User90054,64
User90055,88
User90056,19
User90057,85
User90058,74
User90059,99
User90060,22
User90061,65
User90062,4
User90063,14
User90064,79
User90065,14
User90066,73
User90067,79
User90068,81
User90069,51
User90070,60
User90071,67
User90072,3
User90073,68
User90074,52
User90075,57
User90076,76
User90077,55
User90078,34
User90079,0
User90080,6
User90081,90
User90082,13
User90083,34
User90084,71
User90085,77
User90086,22
User90087,90
User90088,62
User90089,96
User90090,90
User90091,85
User90092,62
User90093,94
User90094,0
User90095,41
User90096,8
User90097,73
User90098,21
User90099,90
User90100,25
User90101,81
User90102,58
User90103,29
User90104,50
User90105,11
User90106,87
User90107,27
User90108,66
User90109,21
User90110,28
User90111,73
User90112,11
User90113,41
User90114,7
User90115,83
User90116,18
User90117,30
User90118,73
User90119,81
User90120,27
User90121,64
User90122,67
User90123,89
User90124,58
User90125,67
User90126,31
User90127,67
User90128,41
User90129,53
User90130,58
User90131,67
User90132,34
User90133,16
User90134,96
User90135,85
User90136,27
User90137,83
User90138,12
User90139,94
User90140,5
User90141,41
User90142,68
User90143,16
User90144,82
User90145,75
User90146,99
User90147,1
User90148,6
User90149,73
User90150,83
User90151,33
User90152,37
User90153,50
User90154,23
User90155,96
User90156,18
User90157,54
User90158,64
User90159,60
User90160,7
User90161,22
User90162,27
User90163,42
User90164,39
User90165,24
User90166,28
User90167,66
User90168,8
User90169,41
User90170,61
User90171,13
User90172,82
User90173,29
User90174,30
User90175,64
User90176,5
User90177,29
User90178,65
User90179,11
User90180,2
User90181,48
User90182,45
User90183,40
User90184,99
User90185,68
User90186,37
User90187,18
User90188,23
User90189,1
User90190,78
User90191,31
User90192,24
User90193,6
User90194,74
User90195,63
User90196,31
User90197,2
User90198,30
User90199,40
User90200,44
User90201,91
User90202,53
User90203,26
User90204,21
User90205,84
User90206,91
User90207,26
User90208,13
User90209,57
User90210,38
User90211,16
User90212,5
User90213,84
User90214,56
User90215,5
User90216,52
User90217,94
User90218,23
User90219,76
User90220,95
User90221,2
User90222,7
User90223,19
User90224,9
User90225,82
User90226,83
User90227,40
User90228,85
User90229,13
User90230,80
User90231,29
User90232,5
User90233,34
User90234,55
User90235,26
User90236,18
User90237,46
User90238,53
User90239,32
User90240,3
User90241,91
User90242,48
User90243,9
User90244,75
User90245,5
User90246,15
User90247,28
User90248,99
User90249,38
User90250,5
User90251,95
User90252,41
User90253,12
User90254,15
User90255,50
User90256,95
User90257,98
User90258,90
User90259,80
User90260,11
User90261,71
User90262,9
User90263,17
User90264,5
User90265,64
User90266,43
User90267,24
User90268,11
User90269,96
User90270,56
User90271,15
User90272,88
User90273,5
User90274,24
User90275,64
User90276,11
User90277,39
User90278,93
User90279,10
User90280,78
User90281,98
User90282,6
User90283,20
User90284,11
User90285,21
User90286,70
User90287,6
User90288,20
User90289,61
User90290,86
User90291,32
User90292,32
User90293,95
User90294,49
User90295,38
User90296,60
User90297,92
User90298,63
User90299,71
User90300,89
User90301,20
User90302,87
User90303,77
User90304,25
User90305,11
User90306,42
User90307,36
User90308,51
User90309,35
User90310,47
User90311,30
User90312,33
User90313,54
User90314,50
User90315,44
User90316,75
User90317,21
User90318,50
User90319,95
User90320,82
User90321,37
User90322,28
User90323,14
User90324,32
User90325,77
User90326,53
User90327,93
User90328,69
User90329,16
User90330,65
User90331,59
User90332,37
User90333,52
User90334,36
User90335,62
User90336,63
User90337,79
User90338,99
User90339,15
User90340,14
User90341,47
User90342,45
User90343,48
User90344,1
User90345,96
User90346,93
User90347,76
User90348,17
User90349,44
User90350,72
User90351,99
User90352,81
User90353,1
User90354,14
User90355,14
User90356,78
User90357,68
User90358,7
User90359,48
User90360,85
User90361,72
User90362,7
User90363,22
User90364,24
User90365,44
User90366,85
User90367,88
User90368,23
User90369,84
User90370,3
User90371,37
User90372,31
User90373,49
User90374,86
User90375,32
User90376,45
User90377,79
User90378,9
User90379,63
User90380,23
User90381,82
User90382,63
User90383,4
User90384,83
User90385,77
User90386,18
User90387,61
User90388,46
User90389,26
User90390,9
User90391,31
User90392,98
User90393,17
User90394,54
User90395,22
User90396,61
User90397,39
User90398,10
User90399,84
User90400,23
User90401,14
User90402,22
User90403,55
User90404,63
User90405,8
User90406,88
User90407,9
User90408,87
User90409,97
User90410,73
User90411,11
User90412,80
