name,age
User60001,74
User60002,45
User60003,0
User60004,41
User60005,98
User60006,93
User60007,29
User60008,10
User60009,98
User60010,7
User60011,92
User60012,97
User60013,77
User60014,79
User60015,90
User60016,66
User60017,43
User60018,47
User60019,88
User60020,67
User60021,31
User60022,50
User60023,44
User60024,61
User60025,76
User60026,24
User60027,80
User60028,39
User60029,31
User60030,29
User60031,20
User60032,5
User60033,74
User60034,21
User60035,47
User60036,73
User60037,14
User60038,76
User60039,84
User60040,12
User60041,84
User60042,77
User60043,10
User60044,62
User60045,56
User60046,0
User60047,28
User60048,0
User60049,47
User60050,17
User60051,67
User60052,79
User60053,67
User60054,12
User60055,40
User60056,43
User60057,37
User60058,20
User60059,83
User60060,69
User60061,50
User60062,3
User60063,75
User60064,24
User60065,24
User60066,22
User60067,98
User60068,38
User60069,99
User60070,83
User60071,51
User60072,84
User60073,60
User60074,61
User60075,46
User60076,17
User60077,62
User60078,75
User60079,18
User60080,10
User60081,92
User60082,85
User60083,89
User60084,60
User60085,98
User60086,30
User60087,4
User60088,36
User60089,51
User60090,87
User60091,5
User60092,1
User60093,91
User60094,80
User60095,26
User60096,16
User60097,3
User60098,24
User60099,55
User60100,3
User60101,7
User60102,6
User60103,88
User60104,68
User60105,68
User60106,34
User60107,85
User60108,31
User60109,9
User60110,4
User60111,41
User60112,2
User60113,89
User60114,31
User60115,62
User60116,88
User60117,61
User60118,66
User60119,25
User60120,13
User60121,54
User60122,30
User60123,14
User60124,46
User60125,11
User60126,40
User60127,62
User60128,15
User60129,65
User60130,18
User60131,19
User60132,73
User60133,25
User60134,7
User60135,41
User60136,93
User60137,41
User60138,27
User60139,24
User60140,51
User60141,31
User60142,66
User60143,53
User60144,21
User60145,98
User60146,16
User60147,10
User60148,60
User60149,83
User60150,35
User60151,73
User60152,37
User60153,66
User60154,87
User60155,84
User60156,78
User60157,28
User60158,46
User60159,93
User60160,93
User60161,64
User60162,13
User60163,67
User60164,90
User60165,20
User60166,9
User60167,83
User60168,62
User60169,36
User60170,8
User60171,14
User60172,68
User60173,75
User60174,68
User60175,90
User60176,73
User60177,84
User60178,1
User60179,33
User60180,67
User60181,36
User60182,6
User60183,5
User60184,3
User60185,93
User60186,89
User60187,81
User60188,22
User60189,36
User60190,75
User60191,15
User60192,1
User60193,88
User60194,82
User60195,91
User60196,9
User60197,91
User60198,75
User60199,72
User60200,28
User60201,84
User60202,86
User60203,97
User60204,59
User60205,54
User60206,88
User60207,33
User60208,39
User60209,89
User60210,66
User60211,7
User60212,26
User60213,73
User60214,13
User60215,29
User60216,67
User60217,3
User60218,11
User60219,89
User60220,39
User60221,86
User60222,4
User60223,41
User60224,75
User60225,87
User60226,32
User60227,84
User60228,79
User60229,8
User60230,57
User60231,7
User60232,92
User60233,43
User60234,4
User60235,52
User60236,98
User60237,92
User60238,85
User60239,38
User60240,82
User60241,51
User60242,46
User60243,8
User60244,24
User60245,59
User60246,38
User60247,91
User60248,62
User60249,49
User60250,80
User60251,2
User60252,35
User60253,85
User60254,43
User60255,11
User60256,72
User60257,76
User60258,95
User60259,51
User60260,84
User60261,52
User60262,59
User60263,77
User60264,96
User60265,64
User60266,29
User60267,95
User60268,57
User60269,14
User60270,34
User60271,39
User60272,66
User60273,80
User60274,48
User60275,91
User60276,39
User60277,86
User60278,83
User60279,2
User60280,35
User60281,64
User60282,4
User60283,71
User60284,49
User60285,47
User60286,82
User60287,22
User60288,23
User60289,78
User60290,74
User60291,8
User60292,31
User60293,34
User60294,86
User60295,28
User60296,98
User60297,15
User60298,24
User60299,55
User60300,30
User60301,58
User60302,95
User60303,97
User60304,38
