name,age
User50001,58
User50002,6
User50003,44
User50004,51
User50005,65
User50006,70
User50007,57
User50008,71
User50009,43
User50010,20
User50011,9
User50012,44
User50013,7
User50014,32
User50015,3
User50016,12
User50017,30
User50018,37
User50019,5
User50020,59
User50021,29
User50022,30
User50023,67
User50024,96
User50025,40
User50026,25
User50027,9
User50028,43
User50029,54
User50030,22
User50031,7
User50032,12
User50033,29
User50034,52
User50035,63
User50036,94
User50037,23
User50038,20
User50039,66
User50040,66
User50041,41
User50042,75
User50043,11
User50044,48
User50045,8
User50046,14
User50047,61
User50048,38
User50049,52
User50050,66
User50051,97
User50052,82
User50053,97
User50054,65
User50055,78
User50056,38
User50057,90
User50058,88
User50059,81
User50060,44
User50061,11
User50062,89
User50063,56
User50064,40
User50065,42
User50066,20
User50067,35
User50068,65
User50069,40
User50070,1
User50071,32
User50072,81
User50073,77
User50074,44
User50075,30
User50076,85
User50077,59
User50078,91
User50079,24
User50080,12
User50081,58
User50082,22
User50083,94
User50084,55
User50085,87
User50086,73
User50087,94
User50088,78
User50089,62
User50090,75
User50091,23
User50092,73
User50093,64
User50094,80
User50095,14
User50096,6
User50097,0
User50098,49
User50099,72
User50100,41
User50101,51
User50102,5
User50103,23
User50104,29
User50105,50
User50106,54
User50107,15
User50108,9
User50109,45
User50110,40
User50111,22
User50112,4
User50113,62
User50114,17
User50115,59
User50116,50
User50117,90
User50118,54
User50119,29
User50120,53
User50121,29
User50122,52
User50123,26
User50124,94
User50125,33
User50126,40
User50127,0
User50128,34
User50129,90
User50130,73
User50131,75
User50132,42
User50133,79
User50134,98
User50135,71
User50136,29
User50137,53
User50138,87
User50139,39
User50140,98
User50141,27
User50142,61
User50143,2
User50144,89
User50145,78
User50146,62
User50147,40
User50148,69
User50149,16
User50150,69
User50151,22
User50152,46
User50153,22
User50154,49
User50155,40
User50156,55
User50157,90
User50158,41
User50159,89
User50160,80
User50161,14
User50162,65
User50163,22
User50164,94
User50165,64
User50166,94
User50167,23
User50168,17
User50169,81
User50170,63
User50171,15
User50172,9
User50173,25
User50174,18
User50175,98
User50176,4
User50177,81
User50178,39
User50179,73
User50180,98
User50181,8
User50182,96
User50183,44
User50184,31
User50185,45
User50186,85
User50187,86
User50188,35
User50189,26
User50190,76
User50191,16
User50192,41
User50193,41
User50194,39
User50195,35
User50196,5
User50197,34
User50198,59
User50199,22
User50200,16
User50201,22
User50202,38
User50203,25
User50204,48
User50205,57
User50206,24
User50207,52
User50208,39
User50209,63
User50210,26
User50211,37
User50212,72
User50213,23
User50214,82
User50215,3
User50216,68
User50217,67
User50218,90
User50219,4
User50220,93
