name,age
User20001,39
User20002,88
User20003,77
User20004,0
User20005,61
User20006,47
User20007,21
User20008,73
User20009,42
User20010,45
User20011,17
User20012,42
User20013,61
User20014,6
User20015,53
User20016,75
User20017,22
User20018,35
User20019,81
User20020,95
User20021,31
User20022,11
User20023,33
User20024,13
User20025,8
User20026,11
User20027,95
User20028,97
User20029,51
User20030,54
User20031,77
User20032,91
User20033,43
User20034,55
User20035,92
User20036,5
User20037,3
User20038,13
User20039,78
User20040,45
User20041,59
User20042,95
User20043,87
User20044,20
User20045,2
User20046,40
User20047,96
User20048,24
User20049,75
User20050,77
User20051,20
User20052,7
User20053,88
User20054,53
User20055,20
User20056,97
User20057,65
User20058,16
User20059,95
User20060,16
User20061,70
User20062,72
User20063,8
User20064,14
User20065,27
User20066,0
User20067,19
User20068,30
User20069,14
User20070,98
User20071,76
User20072,73
User20073,94
User20074,63
User20075,93
User20076,96
User20077,4
User20078,89
User20079,21
User20080,80
User20081,67
User20082,41
User20083,87
User20084,56
User20085,95
User20086,8
User20087,53
User20088,60
User20089,24
User20090,49
User20091,77
User20092,95
User20093,21
User20094,85
User20095,10
User20096,49
User20097,86
User20098,29
User20099,80
User20100,0
User20101,27
User20102,56
User20103,74
User20104,21
User20105,20
User20106,67
User20107,18
User20108,24
User20109,57
User20110,39
User20111,5
User20112,24
User20113,81
User20114,92
User20115,80
User20116,76
User20117,1
User20118,34
User20119,37
User20120,26
User20121,83
User20122,14
User20123,22
User20124,5
User20125,0
User20126,32
User20127,54
User20128,87
User20129,62
User20130,35
User20131,88
User20132,90
User20133,91
User20134,62
User20135,12
User20136,11
User20137,30
User20138,30
User20139,36
User20140,87
User20141,70
User20142,41
User20143,12
User20144,52
User20145,34
User20146,93
User20147,28
User20148,35
User20149,27
User20150,66
User20151,62
User20152,11
User20153,80
User20154,84
User20155,17
User20156,81
User20157,17
User20158,71
User20159,68
User20160,79
User20161,7
User20162,56
User20163,69
User20164,98
User20165,19
User20166,82
User20167,9
User20168,50
User20169,13
User20170,46
User20171,37
User20172,83
User20173,87
User20174,50
User20175,35
User20176,22
User20177,43
User20178,64
User20179,57
User20180,71
User20181,30
User20182,20
User20183,83
User20184,11
User20185,4
User20186,0
User20187,92
User20188,22
User20189,72
User20190,61
User20191,1
User20192,79
User20193,18
User20194,71
User20195,77
User20196,37
User20197,54
User20198,87
User20199,87
User20200,67
User20201,33
User20202,25
User20203,50
User20204,21
User20205,76
User20206,86
User20207,43
User20208,20
User20209,51
User20210,1
User20211,91
User20212,82
User20213,21
User20214,74
User20215,94
User20216,26
User20217,75
User20218,86
User20219,48
User20220,47
User20221,48
User20222,50
User20223,26
User20224,66
User20225,22
User20226,4
User20227,4
User20228,76
User20229,91
User20230,92
User20231,43
User20232,25
User20233,18
User20234,94
User20235,47
User20236,94
User20237,81
User20238,90
User20239,14
User20240,33
User20241,92
User20242,6
User20243,15
User20244,13
User20245,81
User20246,9
User20247,40
User20248,56
User20249,96
User20250,89
User20251,3
User20252,44
User20253,39
User20254,30
User20255,11
User20256,62
User20257,34
User20258,15
User20259,38
User20260,26
User20261,8
User20262,81
User20263,52
User20264,26
User20265,76
User20266,99
User20267,21
User20268,57
User20269,90
User20270,35
User20271,90
User20272,82
User20273,42
User20274,6
User20275,96
User20276,23
User20277,15
User20278,36
User20279,80
User20280,12
User20281,26
User20282,84
User20283,57
User20284,65
User20285,14
User20286,68
User20287,28
User20288,49
User20289,84
User20290,66
User20291,75
User20292,93
User20293,48
User20294,27
User20295,19
User20296,25
User20297,27
User20298,40
User20299,82
User20300,17
User20301,76
User20302,73
User20303,99
User20304,19
User20305,79
User20306,95
User20307,42
User20308,95
User20309,32
User20310,22
User20311,8
User20312,58
User20313,7
User20314,65
User20315,24
User20316,21
User20317,34
User20318,52
User20319,70
User20320,19
User20321,19
User20322,46
User20323,12
User20324,67
User20325,74
User20326,32
User20327,93
User20328,1
User20329,73
User20330,75
User20331,19
User20332,50
User20333,49
User20334,18
User20335,69
User20336,28
User20337,14
User20338,11
User20339,24
User20340,46
User20341,34
User20342,32
User20343,4
User20344,41
User20345,98
User20346,29
User20347,63
User20348,33
User20349,81
User20350,34
User20351,52
User20352,0
User20353,81
User20354,65
User20355,68
User20356,55
User20357,97
User20358,61
User20359,57
User20360,70
User20361,37
User20362,76
User20363,20
User20364,86
User20365,95
User20366,90
User20367,15
User20368,10
User20369,2
User20370,40
User20371,56
User20372,36
User20373,73
User20374,61
User20375,78
User20376,71
User20377,90
User20378,42
User20379,4
User20380,72
User20381,76
User20382,57
User20383,73
User20384,57
User20385,22
User20386,41
User20387,13
User20388,20
User20389,3
User20390,70
User20391,90
User20392,41
User20393,47
User20394,11
User20395,27
User20396,43
User20397,2
User20398,43
User20399,53
User20400,4
User20401,84
User20402,10
User20403,41
User20404,57
User20405,71
User20406,19
User20407,29
User20408,62
User20409,62
User20410,34
User20411,34
User20412,38
User20413,91
User20414,7
User20415,96
User20416,14
User20417,49
User20418,9
User20419,34
User20420,52
User20421,80
User20422,25
User20423,93
User20424,28
User20425,36
User20426,21
User20427,71
User20428,38
User20429,65
User20430,25
User20431,43
User20432,49
User20433,35
User20434,84
User20435,7
User20436,7
User20437,4
User20438,36
User20439,69
User20440,66
User20441,71
User20442,4
User20443,5
User20444,62
User20445,12
User20446,1
User20447,77
User20448,61
User20449,11
User20450,11
User20451,14
User20452,91
User20453,36
User20454,8
User20455,20
User20456,73
User20457,30
User20458,92
User20459,12
User20460,95
User20461,17
User20462,55
User20463,45
User20464,53
User20465,39
User20466,52
User20467,61
User20468,43
User20469,89
User20470,31
User20471,9
User20472,60
User20473,35
User20474,14
User20475,23
User20476,47
User20477,16
User20478,0
User20479,9
User20480,27
User20481,11
User20482,23
User20483,19
User20484,48
User20485,31
User20486,40
User20487,21
User20488,62
User20489,32
User20490,33
User20491,57
User20492,50
User20493,88
User20494,3
User20495,3
User20496,28
User20497,56
User20498,65
User20499,71
User20500,45
User20501,96
User20502,81
User20503,6
User20504,31
User20505,96
User20506,30
User20507,79
User20508,12
User20509,31
User20510,88
User20511,40
User20512,42
User20513,12
User20514,60
User20515,91
User20516,44
User20517,0
User20518,12
User20519,6
User20520,32
User20521,45
User20522,63
User20523,82
User20524,34
User20525,67
User20526,86
User20527,62
User20528,23
User20529,52
User20530,33
User20531,69
User20532,48
User20533,15
User20534,75
User20535,80
User20536,11
User20537,6
User20538,59
User20539,24
User20540,37
User20541,48
User20542,65
User20543,79
User20544,61
User20545,25
User20546,71
User20547,5
User20548,25
User20549,83
User20550,11
User20551,58
User20552,29
User20553,75
User20554,41
User20555,63
User20556,42
User20557,28
User20558,25
User20559,66
User20560,80
User20561,59
User20562,35
User20563,28
User20564,75
User20565,10
User20566,8
User20567,87
User20568,16
User20569,68
User20570,11
User20571,53
User20572,17
User20573,76
User20574,33
User20575,78
User20576,2
User20577,4
User20578,83
User20579,27
User20580,88
User20581,95
User20582,86
User20583,17
User20584,71
User20585,27
User20586,80
User20587,13
User20588,55
User20589,6
User20590,80
User20591,35
User20592,66
User20593,15
User20594,64
User20595,42
User20596,26
User20597,73
User20598,29
User20599,43
User20600,41
User20601,40
User20602,97
User20603,59
User20604,17
User20605,31
User20606,37
User20607,19
User20608,35
User20609,21
User20610,47
User20611,24
User20612,16
User20613,34
User20614,41
User20615,87
User20616,61
User20617,22
User20618,1
User20619,17
User20620,29
User20621,81
User20622,53
User20623,96
User20624,97
User20625,17
User20626,38
User20627,23
User20628,90
User20629,67
User20630,66
User20631,32
User20632,8
User20633,63
User20634,91
User20635,26
User20636,94
User20637,29
User20638,45
User20639,30
User20640,50
User20641,93
User20642,55
User20643,67
User20644,27
User20645,96
User20646,55
User20647,89
User20648,19
User20649,56
User20650,7
User20651,49
User20652,38
User20653,60
User20654,45
User20655,36
User20656,78
User20657,84
User20658,59
User20659,69
User20660,52
User20661,26
User20662,1
User20663,60
User20664,89
User20665,93
User20666,86
User20667,84
User20668,22
User20669,32
User20670,15
User20671,72
User20672,25
User20673,70
User20674,39
User20675,53
User20676,66
User20677,94
User20678,43
User20679,86
User20680,51
User20681,50
User20682,35
User20683,90
User20684,10
User20685,81
User20686,26
User20687,88
User20688,65
User20689,86
User20690,57
User20691,17
User20692,12
User20693,59
User20694,78
User20695,1
User20696,53
User20697,64
User20698,86
User20699,75
User20700,97
User20701,1
User20702,48
User20703,22
User20704,71
User20705,87
User20706,76
User20707,38
User20708,82
User20709,19
User20710,24
User20711,34
User20712,69
User20713,60
User20714,24
User20715,80
User20716,41
User20717,51
User20718,69
User20719,7
User20720,37
User20721,27
User20722,25
User20723,49
User20724,86
User20725,3
User20726,51
User20727,39
User20728,68
User20729,38
User20730,15
User20731,65
User20732,39
User20733,63
User20734,88
User20735,11
User20736,51
User20737,64
User20738,49
User20739,33
User20740,84
User20741,73
User20742,68
User20743,53
User20744,34
User20745,93
User20746,34
User20747,76
User20748,44
User20749,3
User20750,83
User20751,82
User20752,30
User20753,8
User20754,32
User20755,16
User20756,12
User20757,84
User20758,56
User20759,80
User20760,22
User20761,71
User20762,45
User20763,62
User20764,35
User20765,33
User20766,73
User20767,86
User20768,98
User20769,22
User20770,20
User20771,82
User20772,96
User20773,88
User20774,36
User20775,30
User20776,82
User20777,70
User20778,6
User20779,27
User20780,73
User20781,90
User20782,9
User20783,3
User20784,99
User20785,42
User20786,20
User20787,11
User20788,26
User20789,77
User20790,92
User20791,49
User20792,49
User20793,38
User20794,11
User20795,84
User20796,71
User20797,85
User20798,70
User20799,70
User20800,7
User20801,91
User20802,52
User20803,4
User20804,80
User20805,88
User20806,35
User20807,62
User20808,58
User20809,42
User20810,89
User20811,32
User20812,32
User20813,99
User20814,35
User20815,32
User20816,42
User20817,55
User20818,43
User20819,68
User20820,33
User20821,36
User20822,18
User20823,82
User20824,74
User20825,30
User20826,66
User20827,45
User20828,15
User20829,37
User20830,16
User20831,23
User20832,29
User20833,68
User20834,27
User20835,9
User20836,57
User20837,62
User20838,72
User20839,16
User20840,5
User20841,62
User20842,48
User20843,37
User20844,61
User20845,83
User20846,69
User20847,3
User20848,39
User20849,13
User20850,72
User20851,72
User20852,49
User20853,90
User20854,54
User20855,24
User20856,21
User20857,21
User20858,70
User20859,36
User20860,58
