[DEBUG] Running CONVERT_CSV_TO_JSON for large dataset
[DEBUG] Input size: 100001 lines, 1278911 bytes
[DEBUG] Processing in 101 chunks
[DEBUG] Processing chunk 1/101 (10805 bytes)
[DEBUG] Processing chunk 2/101 (11894 bytes)
[DEBUG] Processing chunk 3/101 (11900 bytes)
[DEBUG] Processing chunk 4/101 (11889 bytes)
[DEBUG] Processing chunk 5/101 (11901 bytes)
[DEBUG] Processing chunk 6/101 (11901 bytes)
[DEBUG] Processing chunk 7/101 (11899 bytes)
[DEBUG] Processing chunk 8/101 (11906 bytes)
[DEBUG] Processing chunk 9/101 (11903 bytes)
[DEBUG] Processing chunk 10/101 (11899 bytes)
[DEBUG] Processing chunk 11/101 (12907 bytes)
[DEBUG] Processing chunk 12/101 (12893 bytes)
[DEBUG] Processing chunk 13/101 (12903 bytes)
[DEBUG] Processing chunk 14/101 (12893 bytes)
[DEBUG] Processing chunk 15/101 (12904 bytes)
[DEBUG] Processing chunk 16/101 (12887 bytes)
[DEBUG] Processing chunk 17/101 (12902 bytes)
[DEBUG] Processing chunk 18/101 (12899 bytes)
[DEBUG] Processing chunk 19/101 (12888 bytes)
[DEBUG] Processing chunk 20/101 (12871 bytes)
[DEBUG] Processing chunk 21/101 (12910 bytes)
[DEBUG] Processing chunk 22/101 (12909 bytes)
[DEBUG] Processing chunk 23/101 (12898 bytes)
[DEBUG] Processing chunk 24/101 (12911 bytes)
[DEBUG] Processing chunk 25/101 (12910 bytes)
[DEBUG] Processing chunk 26/101 (12901 bytes)
[DEBUG] Processing chunk 27/101 (12897 bytes)
[DEBUG] Processing chunk 28/101 (12916 bytes)
[DEBUG] Processing chunk 29/101 (12921 bytes)
[DEBUG] Processing chunk 30/101 (12909 bytes)
[DEBUG] Processing chunk 31/101 (12894 bytes)
[DEBUG] Processing chunk 32/101 (12894 bytes)
[DEBUG] Processing chunk 33/101 (12890 bytes)
[DEBUG] Processing chunk 34/101 (12919 bytes)
[DEBUG] Processing chunk 35/101 (12895 bytes)
[DEBUG] Processing chunk 36/101 (12891 bytes)
[DEBUG] Processing chunk 37/101 (12897 bytes)
[DEBUG] Processing chunk 38/101 (12899 bytes)
[DEBUG] Processing chunk 39/101 (12899 bytes)
[DEBUG] Processing chunk 40/101 (12897 bytes)
[DEBUG] Processing chunk 41/101 (12907 bytes)
[DEBUG] Processing chunk 42/101 (12897 bytes)
[DEBUG] Processing chunk 43/101 (12889 bytes)
[DEBUG] Processing chunk 44/101 (12892 bytes)
[DEBUG] Processing chunk 45/101 (12905 bytes)
[DEBUG] Processing chunk 46/101 (12907 bytes)
[DEBUG] Processing chunk 47/101 (12890 bytes)
[DEBUG] Processing chunk 48/101 (12891 bytes)
[DEBUG] Processing chunk 49/101 (12899 bytes)
[DEBUG] Processing chunk 50/101 (12906 bytes)
[DEBUG] Processing chunk 51/101 (12898 bytes)
[DEBUG] Processing chunk 52/101 (12906 bytes)
[DEBUG] Processing chunk 53/101 (12895 bytes)
[DEBUG] Processing chunk 54/101 (12897 bytes)
[DEBUG] Processing chunk 55/101 (12901 bytes)
[DEBUG] Processing chunk 56/101 (12890 bytes)
[DEBUG] Processing chunk 57/101 (12888 bytes)
[DEBUG] Processing chunk 58/101 (12906 bytes)
[DEBUG] Processing chunk 59/101 (12890 bytes)
[DEBUG] Processing chunk 60/101 (12894 bytes)
[DEBUG] Processing chunk 61/101 (12901 bytes)
[DEBUG] Processing chunk 62/101 (12909 bytes)
[DEBUG] Processing chunk 63/101 (12912 bytes)
[DEBUG] Processing chunk 64/101 (12904 bytes)
[DEBUG] Processing chunk 65/101 (12897 bytes)
[DEBUG] Processing chunk 66/101 (12901 bytes)
[DEBUG] Processing chunk 67/101 (12915 bytes)
[DEBUG] Processing chunk 68/101 (12896 bytes)
[DEBUG] Processing chunk 69/101 (12927 bytes)
[DEBUG] Processing chunk 70/101 (12911 bytes)
[DEBUG] Processing chunk 71/101 (12901 bytes)
[DEBUG] Processing chunk 72/101 (12891 bytes)
[DEBUG] Processing chunk 73/101 (12909 bytes)
[DEBUG] Processing chunk 74/101 (12902 bytes)
[DEBUG] Processing chunk 75/101 (12894 bytes)
[DEBUG] Processing chunk 76/101 (12899 bytes)
[DEBUG] Processing chunk 77/101 (12899 bytes)
[DEBUG] Processing chunk 78/101 (12889 bytes)
[DEBUG] Processing chunk 79/101 (12896 bytes)
[DEBUG] Processing chunk 80/101 (12917 bytes)
[DEBUG] Processing chunk 81/101 (12899 bytes)
[DEBUG] Processing chunk 82/101 (12902 bytes)
[DEBUG] Processing chunk 83/101 (12889 bytes)
[DEBUG] Processing chunk 84/101 (12902 bytes)
[DEBUG] Processing chunk 85/101 (12902 bytes)
[DEBUG] Processing chunk 86/101 (12892 bytes)
[DEBUG] Processing chunk 87/101 (12906 bytes)
[DEBUG] Processing chunk 88/101 (12900 bytes)
[DEBUG] Processing chunk 89/101 (12889 bytes)
[DEBUG] Processing chunk 90/101 (12906 bytes)
[DEBUG] Processing chunk 91/101 (12893 bytes)
[DEBUG] Processing chunk 92/101 (12891 bytes)
[DEBUG] Processing chunk 93/101 (12902 bytes)
[DEBUG] Processing chunk 94/101 (12913 bytes)
[DEBUG] Processing chunk 95/101 (12901 bytes)
[DEBUG] Processing chunk 96/101 (12892 bytes)
[DEBUG] Processing chunk 97/101 (12897 bytes)
[DEBUG] Processing chunk 98/101 (12894 bytes)
[DEBUG] Processing chunk 99/101 (12901 bytes)
[DEBUG] Processing chunk 100/101 (12907 bytes)
[DEBUG] Processing chunk 101/101 (14 bytes)
