name,age
User10001,4
User10002,85
User10003,19
User10004,35
User10005,34
User10006,67
User10007,88
User10008,77
User10009,82
User10010,56
User10011,21
User10012,38
User10013,3
User10014,87
User10015,24
User10016,84
User10017,31
User10018,50
User10019,38
User10020,72
User10021,11
User10022,6
User10023,86
User10024,74
User10025,46
User10026,58
User10027,60
User10028,29
User10029,89
User10030,97
User10031,18
User10032,93
User10033,83
User10034,38
User10035,28
User10036,18
User10037,5
User10038,17
User10039,95
User10040,87
User10041,74
User10042,17
User10043,25
User10044,77
User10045,5
User10046,49
User10047,62
User10048,37
User10049,0
User10050,0
User10051,9
User10052,11
User10053,7
User10054,96
User10055,85
User10056,53
User10057,54
User10058,46
User10059,83
User10060,43
User10061,44
User10062,1
User10063,36
User10064,27
User10065,39
User10066,65
User10067,46
User10068,44
User10069,82
User10070,41
User10071,32
User10072,57
User10073,59
User10074,58
User10075,34
User10076,64
User10077,7
User10078,97
User10079,1
User10080,7
User10081,98
User10082,11
User10083,19
User10084,5
User10085,7
User10086,4
User10087,59
User10088,61
User10089,51
User10090,42
User10091,5
User10092,95
User10093,44
User10094,41
User10095,23
User10096,83
User10097,7
User10098,69
User10099,28
User10100,90
User10101,11
User10102,61
User10103,47
User10104,70
User10105,19
User10106,82
User10107,35
User10108,26
User10109,79
User10110,36
User10111,34
User10112,78
User10113,48
User10114,54
User10115,83
User10116,56
User10117,59
User10118,43
User10119,18
User10120,10
User10121,86
User10122,23
User10123,5
User10124,30
User10125,65
User10126,29
User10127,14
User10128,72
User10129,98
User10130,43
User10131,62
User10132,9
User10133,4
User10134,10
User10135,79
User10136,23
User10137,92
User10138,15
User10139,50
User10140,72
User10141,52
User10142,84
User10143,50
User10144,0
User10145,39
User10146,34
User10147,56
User10148,98
User10149,77
User10150,74
User10151,8
User10152,63
User10153,98
User10154,14
User10155,94
User10156,63
User10157,43
User10158,9
User10159,35
User10160,42
User10161,52
User10162,98
User10163,51
User10164,56
User10165,8
User10166,31
User10167,80
User10168,0
User10169,46
User10170,30
User10171,73
User10172,98
User10173,15
User10174,23
User10175,99
User10176,54
User10177,57
User10178,56
User10179,52
User10180,34
User10181,31
User10182,61
User10183,98
User10184,29
User10185,76
User10186,93
User10187,92
User10188,20
User10189,2
User10190,28
User10191,62
User10192,55
User10193,26
User10194,13
User10195,11
User10196,34
User10197,44
User10198,91
User10199,35
User10200,91
User10201,22
User10202,8
User10203,90
User10204,37
User10205,32
User10206,89
User10207,91
User10208,89
User10209,46
User10210,44
User10211,24
User10212,77
User10213,6
User10214,23
User10215,6
User10216,82
User10217,17
User10218,98
User10219,3
User10220,19
User10221,26
